,Participant,emotion,role,muscle,meandiff,countgood,INOUT,response
1,1,ANGRY,Competitor,BROW,0.244706756,7,in,0.244706756
2,1,ANGRY,Competitor,CHEEK,-0.023828544,7,in,-0.023828544
3,1,ANGRY,Cooperator,BROW,-0.13484922,3,out,NA
4,1,ANGRY,Cooperator,CHEEK,-0.005964978,3,out,NA
5,1,ANGRY,Novel,BROW,-0.19638082,7,in,-0.19638082
6,1,ANGRY,Novel,CHEEK,0.02339986,7,in,0.02339986
7,1,HAPPY,Competitor,BROW,-0.036661641,8,in,-0.036661641
8,1,HAPPY,Competitor,CHEEK,0.08668822,8,in,0.08668822
9,1,HAPPY,Cooperator,BROW,0.013648684,5,in,0.013648684
10,1,HAPPY,Cooperator,CHEEK,-0.05504404,5,in,-0.05504404
11,1,HAPPY,Novel,BROW,-0.124434721,5,in,-0.124434721
12,1,HAPPY,Novel,CHEEK,0.482279684,5,in,0.482279684
13,1,NEUTRAL,Competitor,BROW,-0.280939532,8,in,-0.280939532
14,1,NEUTRAL,Competitor,CHEEK,-0.309791977,8,in,-0.309791977
15,1,NEUTRAL,Cooperator,BROW,-0.032718342,6,in,-0.032718342
16,1,NEUTRAL,Cooperator,CHEEK,0.004584825,6,in,0.004584825
17,1,NEUTRAL,Novel,BROW,-0.027720571,8,in,-0.027720571
18,1,NEUTRAL,Novel,CHEEK,-0.005562433,8,in,-0.005562433
19,3,ANGRY,Competitor,BROW,-0.070050747,6,in,-0.070050747
20,3,ANGRY,Competitor,CHEEK,0.06487557,6,in,0.06487557
21,3,ANGRY,Cooperator,BROW,0.084040667,6,in,0.084040667
22,3,ANGRY,Cooperator,CHEEK,-0.102810888,6,in,-0.102810888
23,3,ANGRY,Novel,BROW,-0.07430525,4,in,-0.07430525
24,3,ANGRY,Novel,CHEEK,-0.313972459,4,in,-0.313972459
25,3,HAPPY,Competitor,BROW,-0.004368294,7,in,-0.004368294
26,3,HAPPY,Competitor,CHEEK,0.031589065,7,in,0.031589065
27,3,HAPPY,Cooperator,BROW,-0.062357239,7,in,-0.062357239
28,3,HAPPY,Cooperator,CHEEK,-0.001010309,7,in,-0.001010309
29,3,HAPPY,Novel,BROW,-0.080430976,4,in,-0.080430976
30,3,HAPPY,Novel,CHEEK,-0.088546238,4,in,-0.088546238
31,3,NEUTRAL,Competitor,BROW,0.413938529,5,in,0.413938529
32,3,NEUTRAL,Competitor,CHEEK,0.209073334,5,in,0.209073334
33,3,NEUTRAL,Cooperator,BROW,0.914509621,7,in,0.914509621
34,3,NEUTRAL,Cooperator,CHEEK,0.450255804,7,in,0.450255804
35,3,NEUTRAL,Novel,BROW,-0.074065025,8,in,-0.074065025
36,3,NEUTRAL,Novel,CHEEK,0.108075235,8,in,0.108075235
37,6,ANGRY,Competitor,BROW,-0.005319422,3,out,NA
38,6,ANGRY,Competitor,CHEEK,0.437587874,3,out,NA
39,6,ANGRY,Cooperator,BROW,-0.065859643,6,in,-0.065859643
40,6,ANGRY,Cooperator,CHEEK,-0.28404893,6,in,-0.28404893
41,6,ANGRY,Novel,BROW,-0.226995272,3,out,NA
42,6,ANGRY,Novel,CHEEK,-0.043694497,3,out,NA
43,6,HAPPY,Competitor,BROW,0.52493415,3,out,NA
44,6,HAPPY,Competitor,CHEEK,0.564856252,3,out,NA
45,6,HAPPY,Cooperator,BROW,-0.333429553,4,in,-0.333429553
46,6,HAPPY,Cooperator,CHEEK,0.107757332,4,in,0.107757332
47,6,HAPPY,Novel,BROW,-0.472246795,6,in,-0.472246795
48,6,HAPPY,Novel,CHEEK,0.001051297,6,in,0.001051297
49,6,NEUTRAL,Competitor,BROW,-0.071627518,7,in,-0.071627518
50,6,NEUTRAL,Competitor,CHEEK,-0.055822211,7,in,-0.055822211
51,6,NEUTRAL,Cooperator,BROW,0.156828146,8,in,0.156828146
52,6,NEUTRAL,Cooperator,CHEEK,-0.021524636,8,in,-0.021524636
53,6,NEUTRAL,Novel,BROW,-0.01933739,8,in,-0.01933739
54,6,NEUTRAL,Novel,CHEEK,-0.050770567,8,in,-0.050770567
55,14,ANGRY,Competitor,BROW,-0.053958308,4,in,-0.053958308
56,14,ANGRY,Competitor,CHEEK,0.046078291,4,in,0.046078291
57,14,ANGRY,Cooperator,BROW,-0.089000295,6,in,-0.089000295
58,14,ANGRY,Cooperator,CHEEK,-0.049955025,6,in,-0.049955025
59,14,ANGRY,Novel,BROW,-0.125065157,5,in,-0.125065157
60,14,ANGRY,Novel,CHEEK,-0.03679816,5,in,-0.03679816
61,14,HAPPY,Competitor,BROW,-0.614519198,4,in,-0.614519198
62,14,HAPPY,Competitor,CHEEK,-0.325752482,4,in,-0.325752482
63,14,HAPPY,Cooperator,BROW,0.557426542,3,out,NA
64,14,HAPPY,Cooperator,CHEEK,0.090508839,3,out,NA
65,14,HAPPY,Novel,BROW,-0.37930956,3,out,NA
66,14,HAPPY,Novel,CHEEK,0.111398114,3,out,NA
67,14,NEUTRAL,Competitor,BROW,-0.563342641,4,in,-0.563342641
68,14,NEUTRAL,Competitor,CHEEK,-0.176949878,4,in,-0.176949878
69,14,NEUTRAL,Cooperator,BROW,0.145941643,5,in,0.145941643
70,14,NEUTRAL,Cooperator,CHEEK,0.134181938,5,in,0.134181938
71,14,NEUTRAL,Novel,BROW,-0.12476254,4,in,-0.12476254
72,14,NEUTRAL,Novel,CHEEK,-0.02262032,4,in,-0.02262032
73,17,ANGRY,Competitor,BROW,0.679127315,6,in,0.679127315
74,17,ANGRY,Competitor,CHEEK,0.029591655,6,in,0.029591655
75,17,ANGRY,Cooperator,BROW,-0.042510874,5,in,-0.042510874
76,17,ANGRY,Cooperator,CHEEK,-0.059545462,5,in,-0.059545462
77,17,ANGRY,Novel,BROW,-0.226697824,7,in,-0.226697824
78,17,ANGRY,Novel,CHEEK,0.060150638,7,in,0.060150638
79,17,HAPPY,Competitor,BROW,0.077118053,6,in,0.077118053
80,17,HAPPY,Competitor,CHEEK,0.021405107,6,in,0.021405107
81,17,HAPPY,Cooperator,BROW,-0.364509275,6,in,-0.364509275
82,17,HAPPY,Cooperator,CHEEK,-0.057077108,6,in,-0.057077108
83,17,HAPPY,Novel,BROW,0.070677012,4,in,0.070677012
84,17,HAPPY,Novel,CHEEK,-0.043996739,4,in,-0.043996739
85,17,NEUTRAL,Competitor,BROW,0.429429606,7,in,0.429429606
86,17,NEUTRAL,Competitor,CHEEK,1.435428753,7,in,1.435428753
87,17,NEUTRAL,Cooperator,BROW,-0.67757073,2,out,NA
88,17,NEUTRAL,Cooperator,CHEEK,0.287992084,2,out,NA
89,17,NEUTRAL,Novel,BROW,0.013539606,4,in,0.013539606
90,17,NEUTRAL,Novel,CHEEK,0.023211103,4,in,0.023211103
91,20,ANGRY,Competitor,BROW,-0.127815773,6,in,-0.127815773
92,20,ANGRY,Competitor,CHEEK,-0.136661724,6,in,-0.136661724
93,20,ANGRY,Cooperator,BROW,0.256826958,5,in,0.256826958
94,20,ANGRY,Cooperator,CHEEK,0.295254362,5,in,0.295254362
95,20,ANGRY,Novel,BROW,0.243192008,2,out,NA
96,20,ANGRY,Novel,CHEEK,0.24113289,2,out,NA
97,20,HAPPY,Competitor,BROW,-0.150158917,4,in,-0.150158917
