"","pp_no","condition","bin","bin_no","trial","muscle","rms"
"1","pp1","stimtype1","bin_0",0,"trial1","brow",2.1998
"2","pp1","stimtype1","bin_0",0,"trial1","cheek",9.166
"3","pp1","stimtype1","bin_1",1,"trial1","brow",2.1451
"4","pp1","stimtype1","bin_1",1,"trial1","cheek",5.7558
"5","pp1","stimtype1","bin_2",2,"trial1","brow",2.7
"6","pp1","stimtype1","bin_2",2,"trial1","cheek",10.9498
"7","pp1","stimtype1","bin_3",3,"trial1","brow",1.1724
"8","pp1","stimtype1","bin_3",3,"trial1","cheek",7.4457
"9","pp1","stimtype1","bin_4",4,"trial1","brow",1.6986
"10","pp1","stimtype1","bin_4",4,"trial1","cheek",6.1996
"11","pp1","stimtype1","bin_5",5,"trial1","brow",1.4203
"12","pp1","stimtype1","bin_5",5,"trial1","cheek",5.9248
"13","pp1","stimtype1","bin_6",6,"trial1","brow",1.3964
"14","pp1","stimtype1","bin_6",6,"trial1","cheek",6.2638
"15","pp1","stimtype1","bin_7",7,"trial1","brow",2.3049
"16","pp1","stimtype1","bin_7",7,"trial1","cheek",5.982
"17","pp1","stimtype1","bin_8",8,"trial1","brow",1.9965
"18","pp1","stimtype1","bin_8",8,"trial1","cheek",7.3142
"19","pp1","stimtype1","bin_9",9,"trial1","brow",1.8756
"20","pp1","stimtype1","bin_9",9,"trial1","cheek",6.1284
"21","pp1","stimtype1","bin_10",10,"trial1","brow",4.296
"22","pp1","stimtype1","bin_10",10,"trial1","cheek",5.9749
"23","pp1","stimtype1","bin_0",0,"trial2","brow",2.2528
"24","pp1","stimtype1","bin_0",0,"trial2","cheek",5.7792
"25","pp1","stimtype1","bin_1",1,"trial2","brow",2.2544
"26","pp1","stimtype1","bin_1",1,"trial2","cheek",5.9115
"27","pp1","stimtype1","bin_2",2,"trial2","brow",1.8102
"28","pp1","stimtype1","bin_2",2,"trial2","cheek",7.2636
"29","pp1","stimtype1","bin_3",3,"trial2","brow",2.5612
"30","pp1","stimtype1","bin_3",3,"trial2","cheek",6.2419
"31","pp1","stimtype1","bin_4",4,"trial2","brow",2.5886
"32","pp1","stimtype1","bin_4",4,"trial2","cheek",8.6219
"33","pp1","stimtype1","bin_5",5,"trial2","brow",1.2176
